Model,Accuracy,F1,ROC-AUC
Random Forest,0.774,0.72,0.879
KNN,0.783,0.741,0.872
Neural Network,0.799,0.775,0.908
LightGBM,0.807,0.776,0.913
CatBoost,0.816,0.774,0.912
